 ,X,Y,Red,Green,Blue
1,0,50,42,42,42
2,1,50,40,40,40
3,2,50,42,42,42
4,3,50,41,41,41
5,4,50,44,44,44
6,5,50,42,42,42
7,6,50,42,42,42
8,7,50,42,42,42
9,8,50,42,42,42
10,9,50,44,44,44
11,10,50,46,46,46
12,11,50,47,47,47
13,12,50,59,59,59
14,13,50,76,76,76
15,0,51,35,35,35
16,1,51,32,32,32
17,2,51,36,36,36
18,3,51,32,32,32
19,4,51,34,34,34
20,5,51,32,32,32
21,6,51,34,34,34
22,7,51,35,35,35
23,8,51,34,34,34
24,9,51,38,38,38
25,10,51,38,38,38
26,11,51,42,42,42
27,12,51,52,52,52
28,0,52,31,31,31
29,1,52,32,32,32
30,2,52,29,29,29
31,3,52,28,28,28
32,4,52,27,27,27
33,5,52,29,29,29
34,6,52,32,32,32
35,7,52,29,29,29
36,8,52,30,30,30
37,9,52,34,34,34
38,10,52,36,36,36
39,11,52,43,43,43
40,0,53,26,26,26
41,1,53,23,23,23
42,2,53,23,23,23
43,3,53,21,21,21
44,4,53,25,25,25
45,5,53,24,24,24
46,6,53,28,28,28
47,7,53,25,25,25
48,8,53,24,24,24
49,9,53,27,27,27
50,10,53,34,34,34
51,0,54,25,25,25
52,1,54,22,22,22
53,2,54,21,21,21
54,3,54,20,20,20
55,4,54,21,21,21
56,5,54,21,21,21
57,6,54,21,21,21
58,7,54,24,24,24
59,8,54,22,22,22
60,9,54,27,27,27
61,0,55,21,21,21
62,1,55,21,21,21
63,2,55,23,23,23
64,3,55,22,22,22
65,4,55,18,18,18
66,5,55,22,22,22
67,6,55,19,19,19
68,7,55,18,18,18
69,8,55,23,23,23
70,9,55,35,35,35
71,0,56,19,19,19
72,1,56,22,22,22
73,2,56,20,20,20
74,3,56,19,19,19
75,4,56,19,19,19
76,5,56,21,21,21
77,6,56,19,19,19
78,7,56,19,19,19
79,8,56,28,28,28
80,0,57,21,21,21
81,1,57,20,20,20
82,2,57,19,19,19
83,3,57,22,22,22
84,4,57,19,19,19
85,5,57,19,19,19
86,6,57,21,21,21
87,7,57,24,24,24
88,0,58,26,26,26
89,1,58,26,26,26
90,2,58,22,22,22
91,3,58,21,21,21
92,4,58,21,21,21
93,5,58,22,22,22
94,6,58,25,25,25
95,0,59,26,26,26
96,1,59,25,25,25
97,2,59,26,26,26
98,3,59,22,22,22
99,4,59,22,22,22
100,5,59,26,26,26
101,0,60,26,26,26
102,1,60,25,25,25
103,2,60,25,25,25
104,3,60,23,23,23
105,4,60,25,25,25
106,5,60,40,40,40
107,0,61,28,28,28
108,1,61,28,28,28
109,2,61,28,28,28
110,3,61,27,27,27
111,4,61,39,39,39
112,0,62,31,31,31
113,1,62,28,28,28
114,2,62,31,31,31
115,3,62,39,39,39
116,0,63,32,32,32
117,1,63,32,32,32
118,2,63,36,36,36
119,0,64,36,36,36
120,1,64,36,36,36
