 ,X,Y,Red,Green,Blue
1,113,49,96,96,96
2,114,49,92,92,92
3,115,49,90,90,90
4,116,49,96,96,96
5,117,49,92,92,92
6,118,49,94,94,94
7,119,49,84,84,84
8,120,49,80,80,80
9,121,49,74,74,74
10,122,49,69,69,69
11,123,49,73,73,73
12,124,49,79,79,79
13,125,49,88,88,88
14,126,49,83,83,83
15,127,49,76,76,76
16,128,49,83,83,83
17,129,49,84,84,84
18,130,49,82,82,82
19,131,49,82,82,82
20,132,49,78,78,78
21,133,49,82,82,82
22,114,50,83,83,83
23,115,50,91,91,91
24,116,50,130,130,130
25,117,50,134,134,134
26,118,50,138,138,138
27,119,50,132,132,132
28,120,50,125,125,125
29,121,50,126,126,126
30,122,50,121,121,121
31,123,50,127,127,127
32,124,50,126,126,126
33,125,50,126,126,126
34,126,50,121,121,121
35,127,50,113,113,113
36,128,50,118,118,118
37,129,50,114,114,114
38,130,50,113,113,113
39,131,50,110,110,110
40,132,50,110,110,110
41,133,50,90,90,90
42,134,50,76,76,76
43,114,51,84,84,84
44,115,51,89,89,89
45,116,51,133,133,133
46,117,51,146,146,146
47,118,51,150,150,150
48,119,51,146,146,146
49,120,51,145,145,145
50,121,51,147,147,147
51,122,51,148,148,148
52,123,51,149,149,149
53,124,51,151,151,151
54,125,51,153,153,153
55,126,51,153,153,153
56,127,51,145,145,145
57,128,51,149,149,149
58,129,51,145,145,145
59,130,51,146,146,146
60,131,51,145,145,145
61,132,51,146,146,146
62,133,51,122,122,122
63,134,51,82,82,82
64,135,51,81,81,81
65,114,52,91,91,91
66,115,52,89,89,89
67,116,52,119,119,119
68,117,52,145,145,145
69,118,52,150,150,150
70,119,52,144,144,144
71,120,52,148,148,148
72,121,52,147,147,147
73,122,52,146,146,146
74,123,52,151,151,151
75,124,52,151,151,151
76,125,52,153,153,153
77,126,52,152,152,152
78,127,52,149,149,149
79,128,52,145,145,145
80,129,52,144,144,144
81,130,52,146,146,146
82,131,52,146,146,146
83,132,52,146,146,146
84,133,52,138,138,138
85,134,52,103,103,103
86,135,52,73,73,73
87,136,52,89,89,89
88,115,53,101,101,101
89,116,53,116,116,116
90,117,53,139,139,139
91,118,53,150,150,150
92,119,53,145,145,145
93,120,53,153,153,153
94,121,53,148,148,148
95,122,53,150,150,150
96,123,53,151,151,151
97,124,53,156,156,156
98,125,53,154,154,154
99,126,53,150,150,150
100,127,53,148,148,148
101,128,53,150,150,150
102,129,53,145,145,145
103,130,53,145,145,145
104,131,53,149,149,149
105,132,53,149,149,149
106,133,53,147,147,147
107,134,53,137,137,137
108,135,53,88,88,88
109,136,53,74,74,74
110,115,54,100,100,100
111,116,54,104,104,104
112,117,54,137,137,137
113,118,54,149,149,149
114,119,54,145,145,145
115,120,54,147,147,147
116,121,54,149,149,149
117,122,54,149,149,149
118,123,54,150,150,150
119,124,54,157,157,157
120,125,54,155,155,155
121,126,54,149,149,149
122,127,54,150,150,150
123,128,54,151,151,151
124,129,54,146,146,146
