 ,X,Y,Red,Green,Blue
1,5,36,62,62,62
2,6,36,85,85,85
3,7,36,99,99,99
4,8,36,83,83,83
5,9,36,79,79,79
6,10,36,73,73,73
7,11,36,70,70,70
8,12,36,69,69,69
9,13,36,67,67,67
10,14,36,69,69,69
11,15,36,64,64,64
12,16,36,65,65,65
13,17,36,67,67,67
14,18,36,74,74,74
15,19,36,72,72,72
16,4,37,63,63,63
17,5,37,83,83,83
18,6,37,80,80,80
19,7,37,74,74,74
20,8,37,71,71,71
21,9,37,65,65,65
22,10,37,64,64,64
23,11,37,65,65,65
24,12,37,66,66,66
25,13,37,69,69,69
26,14,37,69,69,69
27,15,37,63,63,63
28,16,37,65,65,65
29,17,37,65,65,65
30,18,37,68,68,68
31,19,37,76,76,76
32,20,37,80,80,80
33,21,37,78,78,78
34,22,37,83,83,83
35,23,37,87,87,87
36,24,37,96,96,96
37,25,37,123,123,123
38,26,37,143,143,143
39,27,37,132,132,132
40,28,37,122,122,122
41,29,37,130,130,130
42,30,37,137,137,137
43,31,37,136,136,136
44,32,37,135,135,135
45,33,37,138,138,138
46,34,37,140,140,140
47,35,37,139,139,139
48,36,37,140,140,140
49,37,37,143,143,143
50,38,37,144,144,144
51,39,37,150,150,150
52,40,37,152,152,152
53,41,37,154,154,154
54,42,37,155,155,155
55,43,37,159,159,159
56,44,37,164,164,164
57,45,37,160,160,160
58,46,37,154,154,154
59,47,37,152,152,152
60,48,37,156,156,156
61,3,38,67,67,67
62,4,38,81,81,81
63,5,38,67,67,67
64,6,38,46,46,46
65,7,38,46,46,46
66,8,38,35,35,35
67,9,38,34,34,34
68,10,38,35,35,35
69,11,38,35,35,35
70,12,38,38,38,38
71,13,38,37,37,37
72,14,38,38,38,38
73,15,38,37,37,37
74,16,38,34,34,34
75,17,38,33,33,33
76,18,38,38,38,38
77,19,38,44,44,44
78,20,38,48,48,48
79,21,38,49,49,49
80,22,38,53,53,53
81,23,38,64,64,64
82,24,38,92,92,92
83,25,38,136,136,136
84,26,38,131,131,131
85,27,38,98,98,98
86,28,38,120,120,120
87,29,38,155,155,155
88,30,38,158,158,158
89,31,38,161,161,161
90,32,38,163,163,163
91,33,38,161,161,161
92,34,38,165,165,165
93,35,38,164,164,164
94,36,38,163,163,163
95,37,38,165,165,165
96,38,38,167,167,167
97,39,38,169,169,169
98,40,38,170,170,170
99,41,38,173,173,173
100,42,38,173,173,173
101,43,38,176,176,176
102,44,38,173,173,173
103,45,38,145,145,145
104,46,38,116,116,116
105,47,38,111,111,111
106,48,38,115,115,115
107,49,38,146,146,146
108,50,38,182,182,182
109,51,38,176,176,176
110,52,38,140,140,140
111,53,38,138,138,138
112,54,38,146,146,146
113,55,38,154,154,154
114,56,38,160,160,160
115,57,38,164,164,164
116,58,38,176,176,176
117,59,38,176,176,176
118,60,38,172,172,172
119,61,38,175,175,175
120,62,38,179,179,179
121,63,38,180,180,180
122,64,38,186,186,186
123,65,38,193,193,193
124,66,38,189,189,189
125,67,38,189,189,189
126,68,38,194,194,194
127,69,38,196,196,196
128,70,38,201,201,201
129,71,38,199,199,199
130,72,38,189,189,189
131,73,38,198,198,198
132,74,38,195,195,195
133,75,38,210,210,210
134,76,38,217,217,217
135,2,39,73,73,73
136,3,39,82,82,82
137,4,39,67,67,67
138,5,39,45,45,45
139,6,39,36,36,36
140,7,39,31,31,31
141,8,39,32,32,32
142,9,39,30,30,30
143,10,39,32,32,32
144,11,39,31,31,31
145,12,39,32,32,32
146,13,39,31,31,31
147,14,39,33,33,33
148,15,39,34,34,34
149,16,39,34,34,34
150,17,39,35,35,35
151,18,39,42,42,42
152,19,39,44,44,44
153,20,39,48,48,48
154,21,39,53,53,53
155,22,39,61,61,61
156,23,39,90,90,90
157,24,39,131,131,131
158,25,39,132,132,132
159,26,39,102,102,102
160,27,39,110,110,110
161,28,39,149,149,149
162,29,39,165,165,165
163,30,39,168,168,168
164,31,39,171,171,171
165,32,39,173,173,173
166,33,39,172,172,172
167,34,39,176,176,176
168,35,39,176,176,176
169,36,39,179,179,179
170,37,39,179,179,179
171,38,39,178,178,178
172,39,39,183,183,183
173,40,39,182,182,182
174,41,39,185,185,185
175,42,39,183,183,183
176,43,39,184,184,184
177,44,39,171,171,171
178,45,39,123,123,123
179,46,39,111,111,111
180,47,39,111,111,111
181,48,39,120,120,120
182,49,39,167,167,167
183,50,39,184,184,184
184,51,39,153,153,153
185,52,39,122,122,122
186,53,39,154,154,154
187,54,39,184,184,184
188,55,39,190,190,190
189,56,39,194,194,194
190,57,39,199,199,199
191,58,39,203,203,203
192,59,39,203,203,203
193,60,39,201,201,201
194,61,39,204,204,204
195,62,39,206,206,206
196,63,39,207,207,207
197,64,39,211,211,211
198,65,39,213,213,213
199,66,39,210,210,210
200,67,39,211,211,211
201,68,39,208,208,208
202,69,39,211,211,211
203,70,39,212,212,212
204,71,39,201,201,201
205,72,39,164,164,164
206,73,39,148,148,148
207,74,39,137,137,137
208,75,39,192,192,192
209,76,39,203,203,203
210,77,39,171,171,171
211,78,39,185,185,185
212,79,39,203,203,203
213,80,39,201,201,201
214,81,39,185,185,185
215,82,39,178,178,178
216,83,39,178,178,178
217,84,39,187,187,187
218,85,39,188,188,188
219,86,39,193,193,193
220,87,39,200,200,200
221,88,39,189,189,189
222,89,39,179,179,179
223,90,39,172,172,172
224,91,39,172,172,172
225,92,39,177,177,177
226,93,39,186,186,186
227,94,39,199,199,199
228,95,39,201,201,201
229,96,39,190,190,190
230,97,39,187,187,187
231,98,39,184,184,184
232,99,39,187,187,187
233,100,39,199,199,199
234,101,39,223,223,223
235,102,39,230,230,230
236,103,39,215,215,215
237,104,39,205,205,205
238,1,40,76,76,76
239,2,40,85,85,85
240,3,40,66,66,66
241,4,40,45,45,45
242,5,40,38,38,38
243,6,40,33,33,33
244,7,40,29,29,29
245,8,40,27,27,27
246,9,40,28,28,28
247,10,40,31,31,31
248,11,40,29,29,29
249,12,40,28,28,28
250,13,40,27,27,27
251,14,40,30,30,30
252,15,40,31,31,31
253,16,40,35,35,35
254,17,40,35,35,35
255,18,40,41,41,41
256,19,40,46,46,46
257,20,40,54,54,54
258,21,40,63,63,63
259,22,40,86,86,86
260,23,40,126,126,126
261,24,40,134,134,134
262,25,40,105,105,105
263,26,40,107,107,107
264,27,40,149,149,149
265,28,40,166,166,166
266,29,40,169,169,169
267,30,40,174,174,174
268,31,40,175,175,175
269,32,40,175,175,175
270,33,40,177,177,177
271,34,40,181,181,181
272,35,40,179,179,179
273,36,40,181,181,181
274,37,40,181,181,181
275,38,40,183,183,183
276,39,40,184,184,184
277,40,40,184,184,184
278,41,40,185,185,185
279,42,40,186,186,186
280,43,40,180,180,180
281,44,40,137,137,137
282,45,40,104,104,104
283,46,40,107,107,107
284,47,40,115,115,115
285,48,40,142,142,142
286,49,40,186,186,186
287,50,40,180,180,180
288,51,40,129,129,129
289,52,40,125,125,125
290,53,40,179,179,179
291,54,40,197,197,197
292,55,40,201,201,201
293,56,40,200,200,200
294,57,40,204,204,204
295,58,40,207,207,207
296,59,40,212,212,212
297,60,40,215,215,215
298,61,40,214,214,214
299,62,40,215,215,215
300,63,40,214,214,214
301,64,40,217,217,217
302,65,40,218,218,218
303,66,40,218,218,218
304,67,40,222,222,222
305,68,40,220,220,220
306,69,40,222,222,222
307,70,40,220,220,220
308,71,40,188,188,188
309,72,40,132,132,132
310,73,40,125,125,125
311,74,40,132,132,132
312,75,40,189,189,189
313,76,40,198,198,198
314,77,40,147,147,147
315,78,40,138,138,138
316,79,40,169,169,169
317,80,40,213,213,213
318,81,40,215,215,215
319,82,40,201,201,201
320,83,40,193,193,193
321,84,40,199,199,199
322,85,40,196,196,196
323,86,40,197,197,197
324,87,40,197,197,197
325,88,40,190,190,190
326,89,40,185,185,185
327,90,40,180,180,180
328,91,40,177,177,177
329,92,40,178,178,178
330,93,40,180,180,180
331,94,40,185,185,185
332,95,40,186,186,186
333,96,40,181,181,181
334,97,40,170,170,170
335,98,40,151,151,151
336,99,40,148,148,148
337,100,40,155,155,155
338,101,40,202,202,202
339,102,40,230,230,230
340,103,40,202,202,202
341,104,40,161,161,161
342,105,40,143,143,143
343,106,40,140,140,140
344,107,40,150,150,150
345,108,40,164,164,164
346,109,40,172,172,172
347,110,40,183,183,183
348,111,40,193,193,193
349,112,40,193,193,193
350,113,40,190,190,190
351,114,40,192,192,192
352,115,40,191,191,191
353,116,40,191,191,191
354,117,40,187,187,187
355,118,40,193,193,193
356,119,40,196,196,196
357,120,40,189,189,189
358,121,40,187,187,187
359,122,40,188,188,188
360,123,40,192,192,192
361,124,40,196,196,196
362,125,40,208,208,208
363,126,40,209,209,209
364,127,40,196,196,196
365,128,40,182,182,182
366,129,40,182,182,182
367,130,40,184,184,184
368,131,40,175,175,175
369,132,40,172,172,172
370,133,40,169,169,169
371,0,41,80,80,80
372,1,41,83,83,83
373,2,41,64,64,64
374,3,41,47,47,47
375,4,41,38,38,38
376,5,41,34,34,34
377,6,41,31,31,31
378,7,41,26,26,26
379,8,41,26,26,26
380,9,41,26,26,26
381,10,41,29,29,29
382,11,41,29,29,29
383,12,41,27,27,27
384,13,41,28,28,28
385,14,41,32,32,32
386,15,41,32,32,32
387,16,41,33,33,33
388,17,41,43,43,43
389,18,41,50,50,50
390,19,41,56,56,56
391,20,41,64,64,64
392,21,41,81,81,81
393,22,41,122,122,122
394,23,41,134,134,134
395,24,41,110,110,110
396,25,41,105,105,105
397,26,41,147,147,147
398,27,41,168,168,168
399,28,41,171,171,171
400,29,41,172,172,172
401,30,41,177,177,177
402,31,41,176,176,176
403,32,41,178,178,178
404,33,41,176,176,176
405,34,41,179,179,179
406,35,41,180,180,180
407,36,41,181,181,181
408,37,41,182,182,182
409,38,41,183,183,183
410,39,41,184,184,184
411,40,41,184,184,184
412,41,41,188,188,188
413,42,41,183,183,183
414,43,41,154,154,154
415,44,41,114,114,114
416,45,41,103,103,103
417,46,41,105,105,105
