 ,X,Y,Red,Green,Blue
1,14,47,102,102,102
2,15,47,104,104,104
3,16,47,111,111,111
4,17,47,116,116,116
5,18,47,107,107,107
6,19,47,110,110,110
7,20,47,112,112,112
8,21,47,109,109,109
9,22,47,112,112,112
10,23,47,109,109,109
11,24,47,114,114,114
12,25,47,110,110,110
13,26,47,115,115,115
14,27,47,111,111,111
15,28,47,107,107,107
16,29,47,107,107,107
17,30,47,109,109,109
18,31,47,113,113,113
19,32,47,120,120,120
20,33,47,120,120,120
21,34,47,118,118,118
22,35,47,118,118,118
23,36,47,134,134,134
24,37,47,140,140,140
25,38,47,129,129,129
26,39,47,123,123,123
27,40,47,124,124,124
28,41,47,125,125,125
29,42,47,127,127,127
30,43,47,124,124,124
31,44,47,130,130,130
32,45,47,133,133,133
33,46,47,126,126,126
34,47,47,126,126,126
35,48,47,127,127,127
36,49,47,133,133,133
37,50,47,137,137,137
38,51,47,138,138,138
39,52,47,132,132,132
40,53,47,130,130,130
41,54,47,132,132,132
42,55,47,131,131,131
43,56,47,129,129,129
44,57,47,126,126,126
45,58,47,130,130,130
46,59,47,134,134,134
47,60,47,150,150,150
48,61,47,149,149,149
49,62,47,130,130,130
50,63,47,132,132,132
51,64,47,128,128,128
52,65,47,133,133,133
53,66,47,141,141,141
54,67,47,138,138,138
55,68,47,140,140,140
56,69,47,136,136,136
57,70,47,137,137,137
58,71,47,133,133,133
59,72,47,135,135,135
60,73,47,142,142,142
61,74,47,145,145,145
62,75,47,146,146,146
63,76,47,142,142,142
64,77,47,141,141,141
65,78,47,143,143,143
66,79,47,144,144,144
67,80,47,146,146,146
68,81,47,146,146,146
69,82,47,145,145,145
70,83,47,152,152,152
71,13,48,108,108,108
72,14,48,114,114,114
73,15,48,122,122,122
74,16,48,124,124,124
75,17,48,118,118,118
76,18,48,121,121,121
77,19,48,122,122,122
78,20,48,119,119,119
79,21,48,121,121,121
80,22,48,117,117,117
81,23,48,120,120,120
82,24,48,116,116,116
83,25,48,116,116,116
84,26,48,116,116,116
85,27,48,113,113,113
86,28,48,114,114,114
87,29,48,113,113,113
88,30,48,112,112,112
89,31,48,117,117,117
90,32,48,117,117,117
91,33,48,118,118,118
92,34,48,126,126,126
93,35,48,142,142,142
94,36,48,140,140,140
95,37,48,118,118,118
96,38,48,125,125,125
97,39,48,120,120,120
98,40,48,120,120,120
99,41,48,123,123,123
100,42,48,121,121,121
