 ,X,Y,Red,Green,Blue
1,111,20,123,123,123
2,112,20,113,113,113
3,113,20,107,107,107
4,114,20,103,103,103
5,115,20,104,104,104
6,116,20,107,107,107
7,117,20,104,104,104
8,118,20,103,103,103
9,119,20,101,101,101
10,120,20,98,98,98
11,121,20,105,105,105
12,122,20,129,129,129
13,123,20,111,111,111
14,112,21,114,114,114
15,113,21,103,103,103
16,114,21,100,100,100
17,115,21,99,99,99
18,116,21,101,101,101
19,117,21,100,100,100
20,118,21,100,100,100
21,119,21,100,100,100
22,120,21,101,101,101
23,121,21,109,109,109
24,122,21,140,140,140
25,123,21,134,134,134
26,124,21,132,132,132
27,113,22,108,108,108
28,114,22,99,99,99
29,115,22,100,100,100
30,116,22,106,106,106
31,117,22,99,99,99
32,118,22,97,97,97
33,119,22,97,97,97
34,120,22,97,97,97
35,121,22,107,107,107
36,122,22,126,126,126
37,123,22,122,122,122
38,124,22,123,123,123
39,125,22,127,127,127
40,114,23,105,105,105
41,115,23,104,104,104
42,116,23,105,105,105
43,117,23,103,103,103
44,118,23,102,102,102
45,119,23,103,103,103
46,120,23,98,98,98
47,121,23,107,107,107
48,122,23,108,108,108
49,123,23,98,98,98
50,124,23,98,98,98
51,125,23,100,100,100
52,126,23,114,114,114
